ID;SENSOR;YEAR;MONTH;DAY;DATE;JULIAN;COUNT;NA;SUM;MEAN;MAX;MIN;MEDIAN;RANGE;VAR_S; SD_M ;15091;10322;10494;12266;10400;8542;6216;6272;5877;10444;10409;11525;11425;11385;12818;11365;11454;14554;12626;11405
LC08_199034_20130414;LC08;2013;4;14;14/04/2013;103;2;18;1,015681684;0,507840842;0,573741794;0,44193989;0,507840842;0,131801904;0,008685871;0,09319802;;0,573741794;0,44193989;;;;;;;;;;;;;;;;;
LC08_199034_20130516;LC08;2013;5;16;16/05/2013;135;10;10;5,626542807;0,562654281;0,726166904;0,416411042;0,564591051;0,309755862;0,008833173;0,093984961;;;0,46830529;;;;0,512784481;0,550403953;;;;0,632271945;0,578778148;0,657058418;0,592077553;0,726166904;0,492285073;;;0,416411042
LC08_199034_20130601;LC08;2013;6;1;01/06/2013;151;20;0;11,8621054;0,59310527;0,760184109;0,410167128;0,612119526;0,350016981;0,011127286;0,10548595;0,620213211;0,601616144;0,470373094;0,410167128;0,444084853;0,760184109;0,610646844;0,603117883;0,636633277;0,659424245;0,49596259;0,729136169;0,613592207;0,677606165;0,644047141;0,700079322;0,543008387;0,724221349;0,463826358;0,454164922
LC08_199034_20130703;LC08;2013;7;3;03/07/2013;183;20;0;10,14502966;0,507251483;0,68385154;0,360428482;0,518520177;0,323423058;0,008104566;0,090025362;0,579062939;0,522453427;0,44971019;0,360428482;0,425944835;0,68385154;0,427101195;0,56639564;0,587664604;0,465164393;0,414996296;0,514586926;0,555831254;0,579071999;0,546045065;0,650684953;0,405998528;0,565959811;0,448405266;0,395672321
LC08_199034_20130719;LC08;2013;7;19;19/07/2013;199;20;0;10,32797095;0,516398548;0,67265135;0,366944909;0,533758253;0,305706441;0,008826564;0,093949794;0,611940324;0,570209444;0,462956518;0,366944909;0,45071429;0,67265135;0,407537252;0,573697567;0,609520257;0,489805818;0,402476788;0,524528325;0,554433584;0,584869087;0,542988181;0,653472722;0,411950916;0,603989422;0,423223823;0,410060376
LC08_199034_20130804;LC08;2013;8;4;04/08/2013;215;20;0;9,355150014;0,467757501;0,598268867;0,326241136;0,467039079;0,272027731;0,007420185;0,086140495;0,58431673;0,515037596;0,431607813;0,326241136;0,416784197;0,590185106;0,391688764;0,524290204;0,589648783;0,422645181;0,368191719;0,453292489;0,510658026;0,537583709;0,487067401;0,598268867;0,372340411;0,480785668;0,392543852;0,361972362
LC08_199034_20130820;LC08;2013;8;20;20/08/2013;231;20;0;10,32549796;0,516274898;0,654090703;0,361187845;0,526596904;0,292902858;0,008059038;0,089772147;0,654090703;0,597612977;0,468796432;0,361187845;0,463186592;0,585330248;0,403730452;0,596055746;0,65289259;0,486385465;0,414049596;0,555279493;0,546839535;0,597386897;0,540055811;0,614189565;0,428055942;0,513137996;0,438271612;0,408962458
LC08_199034_20130905;LC08;2013;9;5;05/09/2013;247;19;1;10,46651962;0,550869454;0,705035985;0,387283236;0,548942268;0,317752749;0,009228947;0,096067407;0,698449969;0,654726386;0,486269534;0,387283236;0,505385637;0,618181825;0,442167878;0,600297153;0,705035985;0,500817776;0,448403507;0,60210073;0,594027758;0,685976386;0,548942268;;0,49655962;0,575504541;0,485690236;0,430699199
LC08_199034_20131007;LC08;2013;10;7;07/10/2013;279;2;18;1,090461225;0,545230613;0,601933897;0,488527328;0,545230613;0,113406569;0,006430525;0,080190554;;;;;;;;;;;;;;;;;0,601933897;;;0,488527328
LC08_199034_20131108;LC08;2013;11;8;08/11/2013;311;20;0;12,74588639;0,637294319;0,85482496;0,484006733;0,63343671;0,370818227;0,008058788;0,089770751;0,85482496;0,786271453;0,632258058;0,574903965;0,65324384;0,487493604;0,617039979;0,634615362;0,747497201;0,574780047;0,5633232;0,484006733;0,702051103;0,667308927;0,668784022;0,658433318;0,622047246;0,585051537;0,639936268;0,592015564
LC08_199034_20131124;LC08;2013;11;24;24/11/2013;327;20;0;12,78399756;0,639199878;0,840490818;0,349778622;0,660367131;0,490712196;0,012926271;0,11369376;0,840490818;0,82929194;0,659217894;0,611197531;0,707409739;0,531859577;0,538214862;0,661516368;0,758922577;0,537168741;0,589999974;0,349778622;0,7178092;0,71088165;0,690566063;0,664446294;0,565217376;0,549454391;0,665356517;0,60519743
LC08_199034_20131210;LC08;2013;12;10;10/12/2013;343;14;6;7,972306551;0,569450468;0,832642913;0,346230835;0,573881835;0,486412078;0,022540436;0,150134725;;;0,582216799;0,527349234;0,715627074;0,56554687;0,390693605;0,708139122;0,832642913;0,363228709;0,623580337;;0,721564412;0,408856094;;;0,346230835;0,549180329;0,637450218;
LC08_199034_20131226;LC08;2013;12;26;26/12/2013;359;16;4;9,384080916;0,586505057;0,954887211;0,322368413;0,567897231;0,632518798;0,024049282;0,15507831;;;;0,654183269;0,706759453;0,518531621;0,431297719;0,352629423;0,562130153;;0,641111135;0,322368413;0,754525363;0,512304246;0,692938507;0,573664308;0,541666687;0,551162779;0,954887211;0,613920629
LC08_199034_20140111;LC08;2014;1;11;11/01/2014;10;3;17;1,048826739;0,349608913;0,553281128;0,151778445;0,343767166;0,401502683;0,040326696;0,200815078;;;0,553281128;;0,343767166;0,151778445;;;;;;;;;;;;;;
LC08_199034_20140127;LC08;2014;1;27;27/01/2014;26;16;4;9,804318727;0,61276992;0,841409683;0,442990661;0,639933139;0,398419022;0,014661851;0,12108613;;;;0,659442723;0,710144937;0,503697157;0,515235484;0,663087726;0,753585398;0,444369525;0,622298062;0,442990661;0,741883099;0,468958944;;0,568780482;0,841409683;0,523138821;0,687727809;0,657568216
LC08_199034_20140212;LC08;2014;2;12;12/02/2014;42;19;1;11,64736846;0,613019393;0,842205346;0,407318532;0,631578922;0,434886814;0,014477035;0,120320553;0,842205346;0,763779521;0,617604613;0,637350678;0,674208164;0,457754642;0,500540555;0,648668647;0,754846036;0,407318532;0,595675647;0,467939973;0,718027711;0,485576928;0,703398585;0,548903883;0,692682922;0,499307156;;0,631578922
LC08_199034_20140228;LC08;2014;2;28;28/02/2014;58;18;2;10,95057958;0,608365532;0,808066785;0,424593955;0,604424626;0,38347283;0,009578054;0,097867531;0,808066785;0,768479764;0,557432413;0,555160165;0,619338393;0,481588453;;0,620702386;0,701952696;0,424593955;0,573804557;;0,693842173;0,569514215;0,666666687;0,540176511;0,645161271;0,497054815;0,637533486;0,589510858
LC08_199034_20140316;LC08;2014;3;16;16/03/2014;74;20;0;11,47851381;0,57392569;0,781113207;0,403917402;0,561904639;0,377195805;0,008933614;0,094517797;0,781113207;0,753566802;0,551981628;0,525761783;0,564453125;0,449596167;0,470004737;0,581045508;0,67813766;0,403917402;0,543283582;0,538254142;0,664717376;0,559356153;0,623260438;0,505764782;0,623338282;0,501718223;0,587103486;0,572139323
LC08_199034_20140417;LC08;2014;4;17;17/04/2014;106;20;0;10,95686003;0,547843002;0,715555549;0,467256635;0,518008173;0,248298914;0,005351934;0,073156914;0,715555549;0,621951222;0,476459503;0,467256635;0,499587804;0,494318187;0,491358012;0,558394134;0,608877718;0,480632424;0,493681908;0,523499846;0,614556253;0,677595615;0,572234273;0,620977342;0,501262009;0,55274564;0,512516499;0,47339946
LC08_199034_20140503;LC08;2014;5;3;03/05/2014;122;20;0;11,20167553;0,560083777;0,707664907;0,449653476;0,553654969;0,258011431;0,007143209;0,084517509;0,707664907;0,666048229;0,486933798;0,449653476;0,487040609;0,467155188;0,617201269;0,533865929;0,638877928;0,577162623;0,472545087;0,510002732;0,602146685;0,640309155;0,573444009;0,679309428;0,47335422;0,652311563;0,49237287;0,474275827
LC08_199034_20140519;LC08;2014;5;19;19/05/2014;138;13;7;6,812902956;0,524069458;0,637767613;0,403947383;0,534365296;0,23382023;0,006721626;0,081985521;;0,578071833;0,436256438;0,403947383;;;0,567261934;0,534365296;0,592178762;;;;;0,637767613;0,52578795;0,60276258;0,441362917;0,615259767;0,449416339;0,428464144
LC08_199034_20140604;LC08;2014;6;4;04/06/2014;154;20;0;10,10493699;0,505246849;0,680840433;0,340234637;0,532574892;0,340605796;0,008608434;0,092781647;0,609080434;0,59591192;0,442942947;0,340234637;0,440588862;0,530806899;0,418466359;0,536553502;0,625046849;0,475218654;0,445331216;0,534342885;0,539677322;0,584681273;0,550806463;0,680840433;0,398367673;0,567258477;0,403379858;0,385400325
