ID;SENSOR;YEAR;MONTH;DAY;DATE;JULIAN;COUNT;NA;SUM;MEAN;MAX;MIN;MEDIAN;RANGE;VAR_S; SD_M ;9003;9009;10262;11118;11147;11155;16261;16338;16351;16381;16404;16426;16460
LC08_199034_20130414;LC08;2013;4;14;14/04/2013;103;2;11;1,123697877;0,561848938;0,585998774;0,537699103;0,561848938;0,04829967;0,001166429;0,034153024;;;;;;;0,585998774;;;;;0,537699103;
LC08_199034_20130516;LC08;2013;5;16;16/05/2013;135;3;10;1,262447447;0,420815816;0,485065699;0,387341768;0,39003998;0,097723931;0,003097856;0,055658384;;;;0,39003998;0,485065699;0,387341768;;;;;;;
LC08_199034_20130601;LC08;2013;6;1;01/06/2013;151;13;0;7,278292447;0,55986865;0,701035202;0,394967496;0,583077431;0,306067705;0,011192568;0,105794933;0,657889187;0,59054786;0,408609271;0,401769906;0,583077431;0,394967496;0,525487244;0,636493206;0,63041383;0,680923283;0,524673462;0,701035202;0,542405069
LC08_199034_20130703;LC08;2013;7;3;03/07/2013;183;13;0;6,713218838;0,516401449;0,646188498;0,351905376;0,491408944;0,294283122;0,008582696;0,09264284;0,559767365;0,584050357;0,417352766;0,405441284;0,484577119;0,351905376;0,469020426;0,587030709;0,588343561;0,646188498;0,491408944;0,641262531;0,486869901
LC08_199034_20130719;LC08;2013;7;19;19/07/2013;199;13;0;6,96224305;0,535557158;0,685296059;0,327466667;0,51543498;0,357829392;0,012220075;0,11054445;0,592520118;0,637702525;0,430842608;0,397213727;0,485466093;0,327466667;0,486545444;0,60391885;0,618682027;0,685296059;0,506370604;0,674783349;0,51543498
LC08_199034_20130804;LC08;2013;8;4;04/08/2013;215;13;0;6,243130147;0,480240781;0,615114927;0,282541335;0,48550725;0,332573593;0,009959617;0,099797879;0,528239191;0,508342147;0,405921042;0,35591054;0,432450324;0,282541335;0,437100202;0,557394028;0,574189544;0,614526927;0,48550725;0,615114927;0,445892692
LC08_199034_20130820;LC08;2013;8;20;20/08/2013;231;13;0;6,988802105;0,537600162;0,700086415;0,290172815;0,547962129;0,409913599;0,015272958;0,123583808;0,645205498;0,601692915;0,414203197;0,395456046;0,48946628;0,290172815;0,48065874;0,605961442;0,649635017;0,677181184;0,547962129;0,700086415;0,491120428
LC08_199034_20130905;LC08;2013;9;5;05/09/2013;247;13;0;7,566862404;0,582066339;0,748909354;0,294804126;0,595515668;0,454105228;0,019395952;0,13926935;0,740174174;0,71457696;0,471667349;0,439485908;0,501587331;0,294804126;0,526956499;0,654041409;0,681159437;0,703999996;0,595515668;0,748909354;0,493984193
LC08_199034_20131007;LC08;2013;10;7;07/10/2013;279;2;11;1,200085878;0,600042939;0,623238444;0,576847434;0,600042939;0,04639101;0,001076063;0,032803398;0,623238444;0,576847434;;;;;;;;;;;
LC08_199034_20131108;LC08;2013;11;8;08/11/2013;311;13;0;8,768196404;0,674476646;0,811067641;0,450030297;0,728183985;0,361037344;0,013075523;0,114348252;0,772593021;0,728183985;0,486104339;0,582837701;0,655526996;0,450030297;0,600816727;0,7318573;0,75999999;0,748114645;0,772606373;0,811067641;0,668457389
LC08_199034_20131124;LC08;2013;11;24;24/11/2013;327;13;0;9,109383523;0,700721809;0,822169542;0,447090745;0,753979743;0,375078797;0,012128112;0,110127709;0,765092671;0,792766392;0,564676642;0,598065078;0,700906336;0,447090745;0,648109257;0,759356141;0,757446826;0,753979743;0,811937869;0,822169542;0,687786281
LC08_199034_20131210;LC08;2013;12;10;10/12/2013;343;9;4;5,768712729;0,640968081;0,859083176;0,321400791;0,618406296;0,537682384;0,027224717;0,164999143;;;0,577833116;0,535937488;;0,321400791;0,562375426;0,747047603;0,765796721;0,780832112;0,859083176;;0,618406296
LC08_199034_20131226;LC08;2013;12;26;26/12/2013;359;10;3;6,19440794;0,619440794;0,846394956;0,371960849;0,650613427;0,474434108;0,030902465;0,175790969;0,805555582;0,769704819;;0,846394956;;0,598401606;0,371960849;0,711627901;0,569620252;0,435005128;;0,702825248;0,383311599
LC08_199034_20140111;LC08;2014;1;11;11/01/2014;10;4;9;2,022727519;0,50568188;0,700172305;0,290114939;0,516220137;0,410057366;0,036869242;0,192013649;;;;;0,290114939;;;0,402005464;0,700172305;;0,630434811;;
LC08_199034_20140127;LC08;2014;1;27;27/01/2014;26;12;1;8,200062305;0,683338525;0,868361056;0,429864258;0,702339023;0,438496798;0,016370393;0,127946838;0,868361056;0,806412578;0,551413119;0,615420759;0,606249988;0,429864258;0,593006313;0,745222926;0,763110936;0,763826609;0,797718644;;0,659455121
LC08_199034_20140212;LC08;2014;2;12;12/02/2014;42;11;2;8,01627928;0,728752662;0,856846452;0,595547318;0,737586081;0,261299133;0,007406229;0,086059448;0,856846452;0,83752805;0,595547318;0,61196655;0,658994019;;;0,723113954;0,737586081;0,755356431;0,777633309;0,787234068;0,674473047
LC08_199034_20140228;LC08;2014;2;28;28/02/2014;58;11;2;7,081866145;0,643806013;0,773626387;0,421589851;0,653561711;0,352036536;0,011307417;0,106336339;;;0,535211265;0,581075251;0,645134926;0,421589851;0,574619293;0,710410833;0,723862708;0,726750851;0,736023068;0,773626387;0,653561711
LC08_199034_20140316;LC08;2014;3;16;16/03/2014;74;13;0;8,288392186;0,63756863;0,819035828;0,396298647;0,667481661;0,422737181;0,01374729;0,117248838;0,819035828;0,751121998;0,501535296;0,53583616;0,639701664;0,396298647;0,541015625;0,667481661;0,68532747;0,714057505;0,673469365;0,747062087;0,616448879
LC08_199034_20140417;LC08;2014;4;17;17/04/2014;106;13;0;7,569191992;0,582245538;0,796304047;0,386449188;0,581375122;0,409854859;0,012057761;0,109807838;0,796304047;0,657130778;0,472854644;0,482240945;0,581375122;0,386449188;0,477845341;0,626242518;0,638028145;0,661538482;0,564798594;0,677872539;0,54651165
LC08_199034_20140503;LC08;2014;5;3;03/05/2014;122;13;0;7,432623386;0,57174026;0,725247502;0,369822472;0,587774277;0,35542503;0,012263144;0,11073908;0,66699779;0,725247502;0,439140797;0,445809245;0,587774277;0,369822472;0,479372948;0,62960124;0,626657605;0,665053964;0,573637128;0,693121672;0,530386746
LC08_199034_20140519;LC08;2014;5;19;19/05/2014;138;10;3;5,639442444;0,563944244;0,760600388;0,405197859;0,559040219;0,355402529;0,013787145;0,117418674;0,667401314;0,760600388;;0,430607647;0,53180325;0,405197859;0,443261117;0,586277187;;0,639467418;;0,653846145;0,52098012
LC08_199034_20140604;LC08;2014;6;4;04/06/2014;154;13;0;6,573967695;0,505689823;0,677253246;0,250290364;0,508399665;0,426962882;0,016057464;0,126718048;0,508399665;0,635468006;0,393980384;0,351823002;0,480139822;0,250290364;0,452186793;0,568736911;0,609325767;0,663633049;0,518158913;0,677253246;0,464571774
LC08_199034_20140620;LC08;2014;6;20;20/06/2014;170;13;0;6,13600713;0,472000548;0,615218341;0,336683422;0,461370021;0,278534919;0,008125799;0,090143214;0,582509339;0,615218341;0,367586195;0,359867334;0,448028684;0,336683422;0,384775072;0,523513138;0,523638546;0,540062428;0,454173774;0,538580835;0,461370021
LC08_199034_20140706;LC08;2014;7;6;06/07/2014;186;12;1;6,275488943;0,522957412;0,683378339;0,251653731;0,546937734;0,431724608;0,019414516;0,139335983;0,632397473;0,683378339;0,376797706;0,373455822;0,467536509;0,251653731;0,465196431;0,594761193;0,589395821;0,666197181;0,504479647;0,670239091;
LC08_199034_20140722;LC08;2014;7;22;22/07/2014;202;13;0;7,284175009;0,560321155;0,838257551;0,358413517;0,522902191;0,479844034;0,018723815;0,136834993;0,724004328;0,838257551;0,422413796;0,413899362;0,514721513;0,358413517;0,47443077;0,610049546;0,606799245;0,632801175;0,522902191;0,676741123;0,488740891
